Id	Ref_Name	Language_Type	Part2B	Part2T	Part1	Scope			Comment
gct	Colonia Tovar German	L				I			
gda	Gade Lohar	L				I			
gdb	Pottangi Ollar Gadaba	L				I			
gdc	Gugu Badhun	E				I			
gdd	Gedaged	L				I			
gde	Gude	L				I			
gdf	Guduf-Gava	L				I			
gdg	Ga'dang	L				I			
gdh	Gadjerawang	L				I			
gdi	Gundi	L				I			
gdj	Gurdjar	L				I			
gdk	Gadang	L				I			
gdl	Dirasha	L				I			
gdm	Laal	L				I			
gdn	Umanakaina	L				I			
gdo	Ghodoberi	L				I			
gdq	Mehri	L				I			
gdr	Wipi	L				I			
gds	Ghandruk Sign Language	L				I			
gdt	Kungardutyi	E				I			
gdu	Gudu	L				I			
gdx	Godwari	L				I			
gea	Geruma	L				I			
geb	Kire	L				I			
gec	Gboloo Grebo	L				I			
ged	Gade	L				I			
gef	Gerai	L				I			
geg	Gengle	L				I			
geh	Hutterite German	L				I			
gei	Gebe	L				I			
gej	Gen	L				I			
gek	Ywom	L				I			
gel	ut-Ma'in	L				I			
geq	Geme	L				I			
ges	Geser-Gorom	L				I			
gev	Eviya	L				I			
gew	Gera	L				I			
gex	Garre	L				I			
gey	Enya	L				I			
gez	Geez	A	gez	gez		I			
gfk	Patpatar	L				I			
gft	Gafat	E				I			
gga	Gao	L				I			
ggb	Gbii	L				I			
ggd	Gugadj	E				I			
gge	Gurr-goni	L				I			
ggg	Gurgula	L				I			
ggk	Kungarakany	E				I			
ggl	Ganglau	L				I			
ggt	Gitua	L				I			
ggu	Gagu	L				I			
ggw	Gogodala	L				I			
gha	Ghadamès	L				I			
ghc	Hiberno-Scottish Gaelic	H				I			
ghe	Southern Ghale	L				I			
ghh	Northern Ghale	L				I			
ghk	Geko Karen	L				I			
ghl	Ghulfan	L				I			
ghn	Ghanongga	L				I			
gho	Ghomara	E				I			
ghr	Ghera	L				I			
ghs	Guhu-Samane	L				I			
ght	Kuke	L				I			
gia	Kija	L				I			
gib	Gibanawa	L				I			
gic	Gail	L				I			
gid	Gidar	L				I			
gie	Gaɓogbo	L				I			
gig	Goaria	L				I			
gih	Githabul	L				I			
gii	Girirra	L				I			
gil	Gilbertese	L	gil	gil		I			
gim	Gimi (Eastern Highlands)	L				I			
gin	Hinukh	L				I			
gip	Gimi (West New Britain)	L				I			
giq	Green Gelao	L				I			
gir	Red Gelao	L				I			
gis	North Giziga	L				I			
git	Gitxsan	L				I			
giu	Mulao	L				I			
giw	White Gelao	L				I			
gix	Gilima	L				I			
giy	Giyug	L				I			
giz	South Giziga	L				I			
gjk	Kachi Koli	L				I			
gjm	Gunditjmara	E				I			
gjn	Gonja	L				I			
gjr	Gurindji Kriol	L				I			
gju	Gujari	L				I			
gka	Guya	L				I			
gkd	Magɨ (Madang Province)	L				I			
gke	Ndai	L				I			
gkn	Gokana	L				I			
gko	Kok-Nar	E				I			
gkp	Guinea Kpelle	L				I			
gku	ǂUngkue	E				I			
gla	Scottish Gaelic	L	gla	gla	gd	I			
glb	Belning	L				I			
glc	Bon Gula	L				I			
gld	Nanai	L				I			
gle	Irish	L	gle	gle	ga	I			
glg	Galician	L	glg	glg	gl	I			
glh	Northwest Pashai	L				I			
glj	Gula Iro	L				I			
glk	Gilaki	L				I			
gll	Garlali	E				I			
glo	Galambu	L				I			
glr	Glaro-Twabo	L				I			
glu	Gula (Chad)	L				I			
glv	Manx	L	glv	glv	gv	I			
glw	Glavda	L				I			
gly	Gule	E				I			
gma	Gambera	E				I			
gmb	Gula'alaa	L				I			
gmd	Mághdì	L				I			
gmg	Magɨyi	L				I			
gmh	Middle High German (ca. 1050-1500)	H	gmh	gmh		I			
gml	Middle Low German	H				I			
gmm	Gbaya-Mbodomo	L				I			
gmn	Gimnime	L				I			
gmr	Mirning	L				I			
gmu	Gumalu	L				I			
gmv	Gamo	L				I			
gmx	Magoma	L				I			
gmy	Mycenaean Greek	A				I			
gmz	Mgbolizhia	L				I			
gna	Kaansa	L				I			
gnb	Gangte	L				I			
gnc	Guanche	E				I			
gnd	Zulgo-Gemzek	L				I			
gne	Ganang	L				I			
gng	Ngangam	L				I			
gnh	Lere	L				I			
gni	Gooniyandi	L				I			
gnj	Ngen	L				I			
gnk	ǁGana	L				I			
gnl	Gangulu	E				I			
gnm	Ginuman	L				I			
gnn	Gumatj	L				I			
gno	Northern Gondi	L				I			
gnq	Gana	L				I			
gnr	Gureng Gureng	E				I			
gnt	Guntai	L				I			
gnu	Gnau	L				I			
gnw	Western Bolivian Guaraní	L				I			
gnz	Ganzi	L				I			
goa	Guro	L				I			
gob	Playero	L				I			
goc	Gorakor	L				I			
god	Godié	L				I			
goe	Gongduk	L				I			
gof	Gofa	L				I			
gog	Gogo	L				I			
goh	Old High German (ca. 750-1050)	H	goh	goh		I			
goi	Gobasi	L				I			
goj	Gowlan	L				I			
gok	Gowli	L				I			
gol	Gola	L				I			
gom	Goan Konkani	L				I			
gon	Gondi	L	gon	gon		M			
goo	Gone Dau	L				I			
gop	Yeretuar	L				I			
goq	Gorap	L				I			
gor	Gorontalo	L	gor	gor		I			
gos	Gronings	L				I			
got	Gothic	A	got	got		I			
gou	Gavar	L				I			
gov	Goo	L				I			
gow	Gorowa	L				I			
gox	Gobu	L				I			
goy	Goundo	L				I			
goz	Gozarkhani	L				I			
gpa	Gupa-Abawa	L				I			
gpe	Ghanaian Pidgin English	L				I			
gpn	Taiap	L				I			
gqa	Ga'anda	L				I			
gqi	Guiqiong	L				I			
gqn	Guana (Brazil)	E				I			
gqr	Gor	L				I			
gqu	Qau	L				I			
gra	Rajput Garasia	L				I			
grb	Grebo	L	grb	grb		M			
grc	Ancient Greek (to 1453)	H	grc	grc		I			
grd	Guruntum-Mbaaru	L				I			
grg	Madi	L				I			
grh	Gbiri-Niragu	L				I			
gri	Ghari	L				I			
grj	Southern Grebo	L				I			
grm	Kota Marudu Talantang	L				I			
grn	Guarani	L	grn	grn	gn	M			
gro	Groma	L				I			
grq	Gorovu	L				I			
grr	Taznatit	L				I			
grs	Gresi	L				I			
grt	Garo	L				I			
gru	Kistane	L				I			
grv	Central Grebo	L				I			
grw	Gweda	L				I			
grx	Guriaso	L				I			
gry	Barclayville Grebo	L				I			
grz	Guramalum	L				I			
gse	Ghanaian Sign Language	L				I			
gsg	German Sign Language	L				I			
gsl	Gusilay	L				I			
gsm	Guatemalan Sign Language	L				I			
gsn	Nema	L				I			
gso	Southwest Gbaya	L				I			
gsp	Wasembo	L				I			
gss	Greek Sign Language	L				I			
gsw	Swiss German	L	gsw	gsw		I			
gta	Guató	L				I			
gtu	Aghu-Tharnggala	E				I			
gua	Shiki	L				I			
gub	Guajajára	L				I			
guc	Wayuu	L				I			
gud	Yocoboué Dida	L				I			
gue	Gurindji	L				I			
guf	Gupapuyngu	L				I			
gug	Paraguayan Guaraní	L				I			
guh	Guahibo	L				I			
gui	Eastern Bolivian Guaraní	L				I			
guj	Gujarati	L	guj	guj	gu	I			
guk	Gumuz	L				I			
gul	Sea Island Creole English	L				I			
gum	Guambiano	L				I			
gun	Mbyá Guaraní	L				I			
guo	Guayabero	L				I			
gup	Gunwinggu	L				I			
guq	Aché	L				I			
gur	Farefare	L				I			
gus	Guinean Sign Language	L				I			
gut	Maléku Jaíka	L				I			
guu	Yanomamö	L				I			
guw	Gun	L				I			
gux	Gourmanchéma	L				I			
guz	Gusii	L				I			
gva	Guana (Paraguay)	L				I			
gvc	Guanano	L				I			
gve	Duwet	L				I			
gvf	Golin	L				I			
gvj	Guajá	L				I			
gvl	Gulay	L				I			
gvm	Gurmana	L				I			
gvn	Kuku-Yalanji	L				I			
gvo	Gavião Do Jiparaná	L				I			
gvp	Pará Gavião	L				I			
gvr	Gurung	L				I			
gvs	Gumawana	L				I			
gvy	Guyani	E				I			
gwa	Mbato	L				I			
gwb	Gwa	L				I			
gwc	Gawri	L				I			
gwd	Gawwada	L				I			
gwe	Gweno	L				I			
gwf	Gowro	L				I			
gwg	Moo	L				I			
gwi	Gwichʼin	L	gwi	gwi		I			
gwj	ǀGwi	L				I			
gwm	Awngthim	E				I			
gwn	Gwandara	L				I			
gwr	Gwere	L				I			
gwt	Gawar-Bati	L				I			
gwu	Guwamu	E				I			
gww	Kwini	L				I			
gwx	Gua	L				I			
gxx	Wè Southern	L				I			
gya	Northwest Gbaya	L				I			
gyb	Garus	L				I			
gyd	Kayardild	L				I			
gye	Gyem	L				I			
gyf	Gungabula	E				I			
gyg	Gbayi	L				I			
gyi	Gyele	L				I			
gyl	Gayil	L				I			
gym	Ngäbere	L				I			
gyn	Guyanese Creole English	L				I			
gyo	Gyalsumdo	L				I			
gyr	Guarayu	L				I			
gyy	Gunya	E				I			
gyz	Geji	L				I			
gza	Ganza	L				I			
gzi	Gazi	L				I			
gzn	Gane	L				I			
haa	Han	L				I			
hab	Hanoi Sign Language	L				I			
hac	Gurani	L				I			
had	Hatam	L				I			
hae	Eastern Oromo	L				I			
haf	Haiphong Sign Language	L				I			
hag	Hanga	L				I			
hah	Hahon	L				I			
hai	Haida	L	hai	hai		M			
haj	Hajong	L				I			
hak	Hakka Chinese	L				I			
hal	Halang	L				I			
ham	Hewa	L				I			
han	Hangaza	L				I			
hao	Hakö	L				I			
hap	Hupla	L				I			
haq	Ha	L				I			
har	Harari	L				I			
has	Haisla	L				I			
hat	Haitian	L	hat	hat	ht	I			
hau	Hausa	L	hau	hau	ha	I			
hav	Havu	L				I			
haw	Hawaiian	L	haw	haw		I			
hax	Southern Haida	L				I			
hay	Haya	L				I			
haz	Hazaragi	L				I			
hba	Hamba	L				I			
hbb	Huba	L				I			
hbn	Heiban	L				I			
hbo	Ancient Hebrew	H				I			
hbs	Serbo-Croatian	L			sh	M			Code element for 639-1 has been deprecated
hbu	Habu	L				I			
hca	Andaman Creole Hindi	L				I			
hch	Huichol	L				I			
hdn	Northern Haida	L				I			
hds	Honduras Sign Language	L				I			
hdy	Hadiyya	L				I			
hea	Northern Qiandong Miao	L				I			
heb	Hebrew	L	heb	heb	he	I			
hed	Herdé	L				I			
heg	Helong	L				I			
heh	Hehe	L				I			
hei	Heiltsuk	L				I			
hem	Hemba	L				I			
her	Herero	L	her	her	hz	I			
hgm	Haiǁom	L				I			
hgw	Haigwai	L				I			
hhi	Hoia Hoia	L				I			
hhr	Kerak	L				I			
hhy	Hoyahoya	L				I			
hia	Lamang	L				I			
hib	Hibito	E				I			
hid	Hidatsa	L				I			
hif	Fiji Hindi	L				I			
hig	Kamwe	L				I			
hih	Pamosu	L				I			
hii	Hinduri	L				I			
hij	Hijuk	L				I			
hik	Seit-Kaitetu	L				I			
hil	Hiligaynon	L	hil	hil		I			
hin	Hindi	L	hin	hin	hi	I			
hio	Tsoa	L				I			
hir	Himarimã	L				I			
hit	Hittite	A	hit	hit		I			
hiw	Hiw	L				I			
hix	Hixkaryána	L				I			
hji	Haji	L				I			
hka	Kahe	L				I			
hke	Hunde	L				I			
hkh	Khah	L				I			
hkk	Hunjara-Kaina Ke	L				I			
hkn	Mel-Khaonh	L				I			
hks	Hong Kong Sign Language	L				I			
hla	Halia	L				I			
hlb	Halbi	L				I			
hld	Halang Doan	L				I			
hle	Hlersu	L				I			
hlt	Matu Chin	L				I			
hlu	Hieroglyphic Luwian	A				I			
hma	Southern Mashan Hmong	L				I			
hmb	Humburi Senni Songhay	L				I			
hmc	Central Huishui Hmong	L				I			
hmd	Large Flowery Miao	L				I			
hme	Eastern Huishui Hmong	L				I			
hmf	Hmong Don	L				I			
hmg	Southwestern Guiyang Hmong	L				I			
hmh	Southwestern Huishui Hmong	L				I			
hmi	Northern Huishui Hmong	L				I			
hmj	Ge	L				I			
hmk	Maek	A				I			
hml	Luopohe Hmong	L				I			
hmm	Central Mashan Hmong	L				I			
hmn	Hmong	L	hmn	hmn		M			
hmo	Hiri Motu	L	hmo	hmo	ho	I			
hmp	Northern Mashan Hmong	L				I			
hmq	Eastern Qiandong Miao	L				I			
hmr	Hmar	L				I			
hms	Southern Qiandong Miao	L				I			
hmt	Hamtai	L				I			
hmu	Hamap	L				I			
hmv	Hmong Dô	L				I			
hmw	Western Mashan Hmong	L				I			
hmy	Southern Guiyang Hmong	L				I			
hmz	Hmong Shua	L				I			
hna	Mina (Cameroon)	L				I			
hnd	Southern Hindko	L				I			
hne	Chhattisgarhi	L				I			
hng	Hungu	L				I			
hnh	ǁAni	L				I			
hni	Hani	L				I			
hnj	Hmong Njua	L				I			
hnn	Hanunoo	L				I			
hno	Northern Hindko	L				I			
hns	Caribbean Hindustani	L				I			
hnu	Hung	L				I			
hoa	Hoava	L				I			
hob	Mari (Madang Province)	L				I			
hoc	Ho	L				I			
hod	Holma	E				I			
hoe	Horom	L				I			
hoh	Hobyót	L				I			
hoi	Holikachuk	L				I			
hoj	Hadothi	L				I			
hol	Holu	L				I			
hom	Homa	E				I			
hoo	Holoholo	L				I			
hop	Hopi	L				I			
hor	Horo	E				I			
hos	Ho Chi Minh City Sign Language	L				I			
hot	Hote	L				I			
hov	Hovongan	L				I			
how	Honi	L				I			
hoy	Holiya	L				I			
hoz	Hozo	L				I			
hpo	Hpon	E				I			
hps	Hawai'i Sign Language (HSL)	L				I			
hra	Hrangkhol	L				I			
hrc	Niwer Mil	L				I			
hre	Hre	L				I			
hrk	Haruku	L				I			
hrm	Horned Miao	L				I			
hro	Haroi	L				I			
hrp	Nhirrpi	E				I			
hrt	Hértevin	L				I			
hru	Hruso	L				I			
hrv	Croatian	L	hrv	hrv	hr	I			
hrw	Warwar Feni	L				I			
hrx	Hunsrik	L				I			
hrz	Harzani	L				I			
hsb	Upper Sorbian	L	hsb	hsb		I			
hsh	Hungarian Sign Language	L				I			
hsl	Hausa Sign Language	L				I			
hsn	Xiang Chinese	L				I			
hss	Harsusi	L				I			
hti	Hoti	E				I			
hto	Minica Huitoto	L				I			
hts	Hadza	L				I			
htu	Hitu	L				I			
htx	Middle Hittite	A				I			
hub	Huambisa	L				I			
huc	ǂHua	L				I			
hud	Huaulu	L				I			
hue	San Francisco Del Mar Huave	L				I			
huf	Humene	L				I			
hug	Huachipaeri	L				I			
huh	Huilliche	L				I			
hui	Huli	L				I			
huj	Northern Guiyang Hmong	L				I			
huk	Hulung	E				I			
hul	Hula	L				I			
hum	Hungana	L				I			
hun	Hungarian	L	hun	hun	hu	I			
huo	Hu	L				I			
hup	Hupa	L	hup	hup		I			
huq	Tsat	L				I			
hur	Halkomelem	L				I			
hus	Huastec	L				I			
hut	Humla	L				I			
huu	Murui Huitoto	L				I			
huv	San Mateo Del Mar Huave	L				I			
huw	Hukumina	E				I			
hux	Nüpode Huitoto	L				I			
huy	Hulaulá	L				I			
huz	Hunzib	L				I			
hvc	Haitian Vodoun Culture Language	L				I			
hve	San Dionisio Del Mar Huave	L				I			
hvk	Haveke	L				I			
hvn	Sabu	L				I			
hvv	Santa María Del Mar Huave	L				I			
hwa	Wané	L				I			
hwc	Hawai'i Creole English	L				I			
hwo	Hwana	L				I			
hya	Hya	L				I			
hye	Armenian	L	arm	hye	hy	I			
hyw	Western Armenian	L				I			
iai	Iaai	L				I			
ian	Iatmul	L				I			
iar	Purari	L				I			
iba	Iban	L	iba	iba		I			
ibb	Ibibio	L				I			
ibd	Iwaidja	L				I			
ibe	Akpes	L				I			
ibg	Ibanag	L				I			
ibh	Bih	L				I			
ibl	Ibaloi	L				I			
ibm	Agoi	L				I			
ibn	Ibino	L				I			
ibo	Igbo	L	ibo	ibo	ig	I			
ibr	Ibuoro	L				I			
ibu	Ibu	L				I			
iby	Ibani	L				I			
ica	Ede Ica	L				I			
ich	Etkywan	L				I			
icl	Icelandic Sign Language	L				I			
icr	Islander Creole English	L				I			
ida	Idakho-Isukha-Tiriki	L				I			
idb	Indo-Portuguese	L				I			
idc	Idon	L				I			
idd	Ede Idaca	L				I			
ide	Idere	L				I			
idi	Idi	L				I			
ido	Ido	C	ido	ido	io	I			
idr	Indri	L				I			
ids	Idesa	L				I			
idt	Idaté	L				I			
idu	Idoma	L				I			
ifa	Amganad Ifugao	L				I			
ifb	Batad Ifugao	L				I			
ife	Ifè	L				I			
iff	Ifo	E				I			
ifk	Tuwali Ifugao	L				I			
ifm	Teke-Fuumu	L				I			
ifu	Mayoyao Ifugao	L				I			
ify	Keley-I Kallahan	L				I			
igb	Ebira	L				I			
ige	Igede	L				I			
igg	Igana	L				I			
igl	Igala	L				I			
igm	Kanggape	L				I			
ign	Ignaciano	L				I			
igo	Isebe	L				I			
igs	Interglossa	C				I			
igw	Igwe	L				I			
ihb	Iha Based Pidgin	L				I			
ihi	Ihievbe	L				I			
ihp	Iha	L				I			
ihw	Bidhawal	E				I			
iii	Sichuan Yi	L	iii	iii	ii	I			
iin	Thiin	E				I			
ijc	Izon	L				I			
ije	Biseni	L				I			
ijj	Ede Ije	L				I			
ijn	Kalabari	L				I			
ijs	Southeast Ijo	L				I			
ike	Eastern Canadian Inuktitut	L				I			
iki	Iko	L				I			
ikk	Ika	L				I			
ikl	Ikulu	L				I			
iko	Olulumo-Ikom	L				I			
ikp	Ikpeshi	L				I			
ikr	Ikaranggal	E				I			
iks	Inuit Sign Language	L				I			
ikt	Inuinnaqtun	L				I			
iku	Inuktitut	L	iku	iku	iu	M			
ikv	Iku-Gora-Ankwa	L				I			
ikw	Ikwere	L				I			
ikx	Ik	L				I			
ikz	Ikizu	L				I			
ila	Ile Ape	L				I			
ilb	Ila	L				I			
ile	Interlingue	C	ile	ile	ie	I			
ilg	Garig-Ilgar	E				I			
ili	Ili Turki	L				I			
ilk	Ilongot	L				I			
ilm	Iranun (Malaysia)	L				I			
ilo	Iloko	L	ilo	ilo		I			
ilp	Iranun (Philippines)	L				I			
ils	International Sign	L				I			
ilu	Ili'uun	L				I			
ilv	Ilue	L				I			
ima	Mala Malasar	L				I			
imi	Anamgura	L				I			
iml	Miluk	E				I			
imn	Imonda	L				I			
imo	Imbongu	L				I			
imr	Imroing	L				I			
ims	Marsian	A				I			
imt	Imotong	L				I			
imy	Milyan	A				I			
ina	Interlingua (International Auxiliary Language Association)	C	ina	ina	ia	I			
inb	Inga	L				I			
ind	Indonesian	L	ind	ind	id	I			
ing	Degexit'an	L				I			
inh	Ingush	L	inh	inh		I			
inj	Jungle Inga	L				I			
inl	Indonesian Sign Language	L				I			
inm	Minaean	A				I			
inn	Isinai	L				I			
ino	Inoke-Yate	L				I			
inp	Iñapari	L				I			
ins	Indian Sign Language	L				I			
int	Intha	L				I			
inz	Ineseño	E				I			
ior	Inor	L				I			
iou	Tuma-Irumu	L				I			
iow	Iowa-Oto	E				I			
ipi	Ipili	L				I			
ipk	Inupiaq	L	ipk	ipk	ik	M			
ipo	Ipiko	L				I			
iqu	Iquito	L				I			
iqw	Ikwo	L				I			
ire	Iresim	L				I			
irh	Irarutu	L				I			
iri	Rigwe	L				I			
irk	Iraqw	L				I			
irn	Irántxe	L				I			
irr	Ir	L				I			
iru	Irula	L				I			
irx	Kamberau	L				I			
iry	Iraya	L				I			
isa	Isabi	L				I			
isc	Isconahua	L				I			
isd	Isnag	L				I			
ise	Italian Sign Language	L				I			
isg	Irish Sign Language	L				I			
ish	Esan	L				I			
isi	Nkem-Nkum	L				I			
isk	Ishkashimi	L				I			
isl	Icelandic	L	ice	isl	is	I			
ism	Masimasi	L				I			
isn	Isanzu	L				I			
iso	Isoko	L				I			
isr	Israeli Sign Language	L				I			
ist	Istriot	L				I			
isu	Isu (Menchum Division)	L				I			
ita	Italian	L	ita	ita	it	I			
itb	Binongan Itneg	L				I			
itd	Southern Tidung	L				I			
ite	Itene	E				I			
iti	Inlaod Itneg	L				I			
itk	Judeo-Italian	L				I			
itl	Itelmen	L				I			
itm	Itu Mbon Uzo	L				I			
ito	Itonama	L				I			
itr	Iteri	L				I			
its	Isekiri	L				I			
itt	Maeng Itneg	L				I			
itv	Itawit	L				I			
itw	Ito	L				I			
itx	Itik	L				I			
ity	Moyadan Itneg	L				I			
itz	Itzá	L				I			
ium	Iu Mien	L				I			
ivb	Ibatan	L				I			
ivv	Ivatan	L				I			
iwk	I-Wak	L				I			
iwm	Iwam	L				I			
iwo	Iwur	L				I			
iws	Sepik Iwam	L				I			
ixc	Ixcatec	L				I			
ixl	Ixil	L				I			
iya	Iyayu	L				I			
iyo	Mesaka	L				I			
iyx	Yaka (Congo)	L				I			
izh	Ingrian	L				I			
izr	Izere	L				I			
izz	Izii	L				I			
jaa	Jamamadí	L				I			
jab	Hyam	L				I			
jac	Popti'	L				I			
jad	Jahanka	L				I			
jae	Yabem	L				I			
jaf	Jara	L				I			
jah	Jah Hut	L				I			
jaj	Zazao	L				I			
jak	Jakun	L				I			
jal	Yalahatan	L				I			
jam	Jamaican Creole English	L				I			
jan	Jandai	E				I			
jao	Yanyuwa	L				I			
jaq	Yaqay	L				I			
jas	New Caledonian Javanese	L				I			
jat	Jakati	L				I			
jau	Yaur	L				I			
jav	Javanese	L	jav	jav	jv	I			
jax	Jambi Malay	L				I			
jay	Yan-nhangu	L				I			
jaz	Jawe	L				I			
jbe	Judeo-Berber	L				I			
jbi	Badjiri	E				I			
jbj	Arandai	L				I			
jbk	Barikewa	L				I			
jbm	Bijim	L				I			
jbn	Nafusi	L				I			
jbo	Lojban	C	jbo	jbo		I			
jbr	Jofotek-Bromnya	L				I			
jbt	Jabutí	L				I			
jbu	Jukun Takum	L				I			
jbw	Yawijibaya	E				I			
jcs	Jamaican Country Sign Language	L				I			
jct	Krymchak	L				I			
jda	Jad	L				I			
jdg	Jadgali	L				I			
jdt	Judeo-Tat	L				I			
jeb	Jebero	L				I			
jee	Jerung	L				I			
jeh	Jeh	L				I			
jei	Yei	L				I			
jek	Jeri Kuo	L				I			
jel	Yelmek	L				I			
jen	Dza	L				I			
jer	Jere	L				I			
jet	Manem	L				I			
jeu	Jonkor Bourmataguil	L				I			
jgb	Ngbee	E				I			
jge	Judeo-Georgian	L				I			
jgk	Gwak	L				I			
jgo	Ngomba	L				I			
jhi	Jehai	L				I			
jhs	Jhankot Sign Language	L				I			
jia	Jina	L				I			
jib	Jibu	L				I			
jic	Tol	L				I			
jid	Bu (Kaduna State)	L				I			
jie	Jilbe	L				I			
jig	Jingulu	L				I			
jih	sTodsde	L				I			
jii	Jiiddu	L				I			
jil	Jilim	L				I			
jim	Jimi (Cameroon)	L				I			
jio	Jiamao	L				I			
jiq	Guanyinqiao	L				I			
jit	Jita	L				I			
jiu	Youle Jinuo	L				I			
jiv	Shuar	L				I			
jiy	Buyuan Jinuo	L				I			
jje	Jejueo	L				I			
jjr	Bankal	L				I			
jka	Kaera	L				I			
jkm	Mobwa Karen	L				I			
jko	Kubo	L				I			
jkp	Paku Karen	L				I			
jkr	Koro (India)	L				I			
jks	Amami Koniya Sign Language	L				I			
jku	Labir	L				I			
jle	Ngile	L				I			
jls	Jamaican Sign Language	L				I			
jma	Dima	L				I			
jmb	Zumbun	L				I			
jmc	Machame	L				I			
jmd	Yamdena	L				I			
jmi	Jimi (Nigeria)	L				I			
jml	Jumli	L				I			
jmn	Makuri Naga	L				I			
jmr	Kamara	L				I			
jms	Mashi (Nigeria)	L				I			
jmw	Mouwase	L				I			
jmx	Western Juxtlahuaca Mixtec	L				I			
jna	Jangshung	L				I			
jnd	Jandavra	L				I			
jng	Yangman	E				I			
jni	Janji	L				I			
jnj	Yemsa	L				I			
jnl	Rawat	L				I			
jns	Jaunsari	L				I			
job	Joba	L				I			
jod	Wojenaka	L				I			
jog	Jogi	L				I			
jor	Jorá	E				I			
jos	Jordanian Sign Language	L				I			
jow	Jowulu	L				I			
jpa	Jewish Palestinian Aramaic	H				I			
jpn	Japanese	L	jpn	jpn	ja	I			
jpr	Judeo-Persian	L	jpr	jpr		I			
jqr	Jaqaru	L				I			
jra	Jarai	L				I			
jrb	Judeo-Arabic	L	jrb	jrb		M			
jrr	Jiru	L				I			
jrt	Jakattoe	L				I			
jru	Japrería	L				I			
jsl	Japanese Sign Language	L				I			
jua	Júma	L				I			
jub	Wannu	L				I			
juc	Jurchen	E				I			
jud	Worodougou	L				I			
juh	Hõne	L				I			
jui	Ngadjuri	E				I			
juk	Wapan	L				I			
jul	Jirel	L				I			
jum	Jumjum	L				I			
jun	Juang	L				I			
juo	Jiba	L				I			
jup	Hupdë	L				I			
jur	Jurúna	L				I			
jus	Jumla Sign Language	L				I			
jut	Jutish	H				I			
juu	Ju	L				I			
juw	Wãpha	L				I			
juy	Juray	L				I			
jvd	Javindo	L				I			
jvn	Caribbean Javanese	L				I			
jwi	Jwira-Pepesa	L				I			
jya	Jiarong	L				I			
jye	Judeo-Yemeni Arabic	L				I			
jyy	Jaya	L				I			
kaa	Kara-Kalpak	L	kaa	kaa		I			
kab	Kabyle	L	kab	kab		I			
kac	Kachin	L	kac	kac		I			
kad	Adara	L				I			
kae	Ketangalan	E				I			
kaf	Katso	L				I			
kag	Kajaman	L				I			
kah	Kara (Central African Republic)	L				I			
kai	Karekare	L				I			
kaj	Jju	L				I			
kak	Kalanguya	L				I			
kal	Kalaallisut	L	kal	kal	kl	I			
kam	Kamba (Kenya)	L	kam	kam		I			
kan	Kannada	L	kan	kan	kn	I			
kao	Xaasongaxango	L				I			
kap	Bezhta	L				I			
kaq	Capanahua	L				I			
kas	Kashmiri	L	kas	kas	ks	I			
kat	Georgian	L	geo	kat	ka	I			
kau	Kanuri	L	kau	kau	kr	M			
kav	Katukína	L				I			
kaw	Kawi	A	kaw	kaw		I			
kax	Kao	L				I			
kay	Kamayurá	L				I			
kaz	Kazakh	L	kaz	kaz	kk	I			
kba	Kalarko	E				I			
kbb	Kaxuiâna	E				I			
kbc	Kadiwéu	L				I			
kbd	Kabardian	L	kbd	kbd		I			
kbe	Kanju	L				I			
kbg	Khamba	L				I			
kbh	Camsá	L				I			
kbi	Kaptiau	L				I			
kbj	Kari	L				I			
kbk	Grass Koiari	L				I			
kbl	Kanembu	L				I			
kbm	Iwal	L				I			
kbn	Kare (Central African Republic)	L				I			
kbo	Keliko	L				I			
kbp	Kabiyè	L				I			
kbq	Kamano	L				I			
kbr	Kafa	L				I			
kbs	Kande	L				I			
kbt	Abadi	L				I			
kbu	Kabutra	L				I			
kbv	Dera (Indonesia)	L				I			
kbw	Kaiep	L				I			
kbx	Ap Ma	L				I			
kby	Manga Kanuri	L				I			
kbz	Duhwa	L				I			
kca	Khanty	L				I			
kcb	Kawacha	L				I			
kcc	Lubila	L				I			
kcd	Ngkâlmpw Kanum	L				I			
kce	Kaivi	L				I			
kcf	Ukaan	L				I			
kcg	Tyap	L				I			
kch	Vono	L				I			
kci	Kamantan	L				I			
kcj	Kobiana	L				I			
kck	Kalanga	L				I			
kcl	Kela (Papua New Guinea)	L				I			
kcm	Gula (Central African Republic)	L				I			
kcn	Nubi	L				I			
kco	Kinalakna	L				I			
kcp	Kanga	L				I			
kcq	Kamo	L				I			
kcr	Katla	L				I			
kcs	Koenoem	L				I			
kct	Kaian	L				I			
kcu	Kami (Tanzania)	L				I			
kcv	Kete	L				I			
kcw	Kabwari	L				I			
kcx	Kachama-Ganjule	L				I			
kcy	Korandje	L				I			
kcz	Konongo	L				I			
kda	Worimi	E				I			
kdc	Kutu	L				I			
kdd	Yankunytjatjara	L				I			
kde	Makonde	L				I			
kdf	Mamusi	L				I			
kdg	Seba	L				I			
kdh	Tem	L				I			
kdi	Kumam	L				I			
kdj	Karamojong	L				I			
kdk	Numèè	L				I			
kdl	Tsikimba	L				I			
kdm	Kagoma	L				I			
kdn	Kunda	L				I			
kdp	Kaningdon-Nindem	L				I			
kdq	Koch	L				I			
kdr	Karaim	L				I			
kdt	Kuy	L				I			
kdu	Kadaru	L				I			
kdw	Koneraw	L				I			
kdx	Kam	L				I			
kdy	Keder	L				I			
kdz	Kwaja	L				I			
